Departamento y distrito;Total de hogares;Hogares con Necesidades Basicas Insatisfechas (NBI) - % Al menos una NBI;Hogares con Necesidades Basicas Insatisfechas (NBI) - % de NBI en Calidad de la vivienda;Hogares con Necesidades Basicas Insatisfechas (NBI) - % de NBI en Infraestructura sanitaria;Hogares con Necesidades Basicas Insatisfechas (NBI) - % de NBI en Acceso a la educacion;Hogares con Necesidades Basicas Insatisfechas (NBI) - % de NBI en Capacidad de subsistencia
     Total Pais;1.770.755;28,3;6,4;10,4;10,6;8,3
          Asuncion;133.600;17,4;4,3;5,5;5;5
     Departamento Concepcion;56.837;34,3;8,2;12,5;12,8;11,2
          Concepcion;19.196;29,6;8,4;10,4;9,4;8,2
          Belen;3.015;31,9;7,6;8,4;11,8;11,3
          Horqueta;11.355;30;6,2;7,7;12,6;10,9
          Loreto;3.811;33,1;7,4;12,4;10,7;10,8
          San Carlos del Apa;270;47,8;11,5;18,1;15,9;11,1
          San Lazaro;3.068;43,9;12,7;26,4;13,9;7,5
          Yby Yau;5.561;38,7;9;15,1;18,8;13
          Azotey;1.821;38,6;11,7;10;17,5;18
          Sargento Jose Felix Lopez;1.656;47,5;10,6;24,4;18,2;13,5
          San Alfredo;702;39,7;5,7;21,5;12,8;10,4
          Paso Barreto;1.204;49,1;10;17,4;20,3;26,8
          Arroyito;2.284;31,3;4,9;7,4;15,5;10,1
          Paso Horqueta;2.233;45;6,4;12,9;13,7;24
          Itacua;661;70,8;15;58,4;23,4;13
     Departamento San Pedro;105.480;31,9;7,5;8,5;12,9;11
          San Pedro del Ycuamandyyu;9.413;28,7;6,3;6,4;10,7;11,5
          Antequera;1.209;42,8;12,8;13,9;14,4;16
          Chore;6.961;27,9;7,2;3,4;12;10,2
          General Elizardo Aquino;5.425;31,5;5,4;8,8;12,1;12,7
          Itacurubi del Rosario;3.458;34,5;4,9;17,6;10,3;12,3
          Lima;3.128;36;7,7;9,2;15,2;13,4
          Nueva Germania;1.553;41,7;6,6;8,2;26;15,8
          San Estanislao;13.998;29;6,1;8,9;11,6;9,3
          San Pablo;1.002;32,6;6,9;8,8;11,9;11,4
          Tacuati;3.977;37,9;8;11,8;17,3;11,8
          Union;1.562;46,4;7,8;23;16,5;12,8
          25 de Diciembre;2.764;31,8;6,8;6,1;10,7;13,4
          Villa del Rosario;2.482;40,2;8,9;17,3;14;14,2
          General Francisco Isidoro Resquin;2.872;40,5;12,2;12,7;17,4;14
          Yataity del Norte;3.164;34,4;5,6;14,2;12,9;11,4
          Guajayvi;8.269;27,1;7;4,8;12,3;8,5
          Capiibary;9.080;33,7;8,4;9,6;14,3;10,9
          Santa Rosa del Aguaray;11.523;30,8;8,3;5,7;12,2;11,3
          Yrybucua;3.515;35,3;11,2;7,6;15,4;11,2
          Liberacion;5.463;27,4;7,3;4,9;12,1;7,6
          San Vicente Pancholo;3.347;31,9;9,9;7,6;12;8,8
          San Jose del Rosario;1.315;33,8;7,4;14,9;11;10
     Departamento Cordillera;79.107;26,5;6,4;6,4;8,7;9,7
          Caacupe;14.301;20,7;5,6;3,9;7,3;7
          Altos;4.006;26,3;7,3;7,7;7,6;8,6
          Arroyos y Esteros;5.958;33,1;10,9;7,9;11,2;12,2
          Atyra;4.607;23,6;6,4;3,9;8,3;8,7
          Caraguatay;3.411;27,4;5,4;3,1;10;13,3
          Emboscada;5.278;32,2;8,9;13,8;6,7;8,8
          Eusebio Ayala;5.973;28,5;5;8,1;9,6;10,8
          Isla Pucu;1.798;31,1;5,5;6;11,6;14,5
          Itacurubi de la Cordillera;2.869;23,3;3,9;4,5;6,1;11,5
          Juan de Mena;1.971;34,7;9,3;6,9;15;11,2
          Loma Grande;1.181;24;4,2;5,8;7,8;9,2
          Mbocayaty del Yhaguy;1.073;26,5;5,5;5,9;9,4;9,1
          Nueva Colombia;1.479;25,6;6,4;7,1;8,9;7,8
          Piribebuy;8.092;27;4,9;7;9,4;10,3
          Primero de Marzo;1.612;28,7;7;6,3;8,9;11,3
          San Bernardino;3.579;20,2;4,4;5,9;6,5;6
          Santa Elena;1.389;23,2;4,5;5,4;7,6;11,4
